"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3105","TC_CON_LIV_002 GET /api/live-stream/:id response schema","contract","2026-04-19","passed","2026-04-19","Live - Contract","api\contract\live\live.contract.spec.js","",""
"","5694","TC_MED_001_POST_CreateStandardVideo","smoke","2026-04-19","passed","2026-04-19","Media - Smoke","api\smoke\media\media-crud.smoke.spec.js","",""
"","3856","TC_LIV_025_GET_ThumbList","regression","2026-04-19","passed","2026-04-19","7. Thumbnails y Logo","api\regression\live\live-advanced.regression.spec.js","",""
"","955","TC_MED_META_GET","regression","2026-04-19","passed","2026-04-19","10. Subrecursos (Metas)","api\regression\media\media-advanced.regression.spec.js","",""
"","148","TC_SHW_NEG_041_UPDATE_NonExistentShow","regression","2026-04-19","passed","2026-04-19","3. Update (POST /api/show/:id)","api\regression\show\show-advanced.regression.spec.js","",""
"","783","TC_MED_SUBTITLE_GET","","2026-04-03","passed","2026-04-03","11. Subrecursos Adicionales","media\media.test.js","",""
"","352","TC-003: Validar estructura de datos del listado","smoke","2026-04-19","passed","2026-04-19","Cupones - Smoke","api\smoke\cupones\cupones.smoke.spec.js","",""
"","226","TC_MED_007_GET_SortDescending","","2026-04-03","passed","2026-04-03","3. Read Media (GET /api/media & /api/media/:id)","media\media.test.js","",""
"","361","TC_CON_LIV_002 GET /api/event/:id response schema","contract","2026-04-19","failed","2026-04-19","Live - Contract","api\contract\live\live.contract.spec.js","",""
"","2414","TC_LIV_039_POST_EnableDVR","","2026-04-03","passed","2026-04-03","Live Stream API > 8. Configuración Avanzada","live\live.test.js","",""
"","9","[PL-NEG] 400 al crear token sin nombre","regression","2026-04-19","skipped","2026-04-19","Access Tokens","api\regression\playlist\playlist-advanced.regression.spec.js","",""
"","85","TC-CAT-POST-NEG-004: Debe fallar si 'name' es vacío","","2026-04-03","passed","2026-04-03","POST /api/category - Creación de categorías","category\post_category.test.js","",""
"","147","[PL-API-003.1.1] Filtra por tipo con ?type=manual","","2026-04-03","failed","2026-04-03","Playlist API > GET /api/playlist · Listado de playlists","playlist\playlist.test.js","",""
"","2396","TC_MED_META_GET","","2026-04-03","passed","2026-04-03","10. Subrecursos (Metas)","media\media.test.js","",""
"","2364","TC_MED_014d_FILTER_Published","","2026-04-03","passed","2026-04-03","6. Filtros Avanzados (filterData)","media\media.test.js","",""
"","2746","TC_SHW_011_GET_ShowWithPopulate","regression","2026-04-19","passed","2026-04-19","2. Read (GET /api/show/:id)","api\regression\show\show-advanced.regression.spec.js","",""
"","638","TC_MED_004_POST_InvalidType","","2026-04-03","passed","2026-04-03","2. Create Media (POST /api/media)","media\media.test.js","",""
"","662","TC-012: Crear y eliminar cupón","smoke","2026-04-19","passed","2026-04-19","Cupones - Smoke","api\smoke\cupones\cupones.smoke.spec.js","",""
"","765","TC_MED_018a_INDEX_VisibilityAdmin - all=true incluye no publicados","regression","2026-04-19","passed","2026-04-19","8. Visibility Index","api\regression\media\media-advanced.regression.spec.js","",""
"","1172","TC-CAT-POST-002: Crear categoría completa con parent, drm, track y visible","smoke","2026-04-19","passed","2026-04-19","POST /api/category - Creación de categorías","api\smoke\category\category-crud.smoke.spec.js","",""
