"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","651","TC_MED_014b_FILTER_TitleContains","","2026-03-06","passed","2026-03-06","6. Filtros Avanzados (filterData)","media/media.test.js","",""
"","660","TC_LIV_032_GET_DetailPublishUrls","","2026-03-06","passed","2026-03-06","Live Stream API > 8. Configuración Avanzada","live/live.test.js","",""
"","37","[PL-API-003.1.1] Filtra por tipo con ?type=manual","","2026-03-06","passed","2026-03-06","Playlist API > GET /api/playlist · Listado de playlists","playlist/playlist.test.js","",""
"","447","TC_LIV_023_POST_StartRecord","","2026-03-06","passed","2026-03-06","Live Stream API > 5. Grabación","live/live.test.js","",""
"","37","TC_MED_009_GET_DetailNotFound","","2026-03-06","passed","2026-03-06","3. Read Media (GET /api/media & /api/media/:id)","media/media.test.js","",""
"","54","TC_SHW_NEG_041_UPDATE_NonExistentShow","","2026-03-06","passed","2026-03-06","3. Update (POST /api/show/:id)","show/show.test.js","",""
"","151","Debe listar y contener la categoría hija creada","","2026-03-06","passed","2026-03-06","GET /api/category - Búsqueda y listados de categorías","category/get_category.test.js","",""
"","535","TC_MED_SUBTITLE_GET","","2026-03-06","passed","2026-03-06","11. Subrecursos Adicionales","media/media.test.js","",""
"","397","TC_MED_PREVIEW_UPLOAD_GET","","2026-03-06","passed","2026-03-06","11. Subrecursos Adicionales","media/media.test.js","",""
"","482","Crear Ad mínimo (name, type, flags)","","2026-03-06","passed","2026-03-06","💵 Ad - Creación )","ad/ad_create.test.js","",""
"","785","TC_LIV_039_POST_EnableDVR","","2026-03-06","passed","2026-03-06","Live Stream API > 8. Configuración Avanzada","live/live.test.js","",""
"","228","[PL-FUNC-001.1.5] Actualiza nombre y descripción","","2026-03-06","passed","2026-03-06","Playlist API > PUT /api/playlist/{id} · Actualización de playlists","playlist/playlist.test.js","",""
"","201","TC_SHW_050_REMOVE_SoftDeleteSuccess","","2026-03-06","passed","2026-03-06","4. Remove (DELETE /api/show/:id)","show/show.test.js","",""
"","982","TC_LIV_001_POST_CreateStreamVideo","","2026-03-06","passed","2026-03-06","Live Stream API > 1. CRUD Principal (POST/GET/DELETE)","live/live.test.js","",""
"","36","[PL-API-003.2.1 / PL-BRULE-002.2.2 NEG] 400 cuando falta el campo name","","2026-03-06","failed","2026-03-06","Playlist API > POST /api/playlist · Creación de playlists","playlist/playlist.test.js","",""
"","67","TC_MED_007_GET_SortDescending","","2026-03-06","passed","2026-03-06","3. Read Media (GET /api/media & /api/media/:id)","media/media.test.js","",""
"","825","TC_LIV_002_POST_CreateStreamAudio","","2026-03-06","passed","2026-03-06","Live Stream API > 1. CRUD Principal (POST/GET/DELETE)","live/live.test.js","",""
"","310","TC-007: Crear cupón reutilizable con código personalizado","","2026-03-06","passed","2026-03-06","🎫 Cupones ","cupones/create_coupon.test.js","",""
"","92","[PL-API-003.1.2] Retorna 200 con campos obligatorios y schema válido","","2026-03-06","passed","2026-03-06","Playlist API > GET /api/playlist/{id} · Detalle de playlist","playlist/playlist.test.js","",""
"","102","TC-005: Test performance básico","","2026-03-06","passed","2026-03-06","🎫 Cupones ","cupones/create_coupon.test.js","",""
"","181","[BR-PL-010] Los tokens generados son únicos entre sí","","2026-03-06","failed","2026-03-06","Playlist API > Reglas de negocio (BR) verificables por API","playlist/playlist.test.js","",""
"","77","TC_SHW_072_VALIDATION_SpecialCharactersInTitle","","2026-03-06","passed","2026-03-06","5. Edge Cases y Validaciones","show/show.test.js","",""
"","610","TC_MED_013_DELETE_Success","","2026-03-06","passed","2026-03-06","5. Delete Media (DELETE /api/media/:id)","media/media.test.js","",""
"","646","TC_MED_005a_GET_ListAllTrue","","2026-03-06","passed","2026-03-06","3. Read Media (GET /api/media & /api/media/:id)","media/media.test.js","",""
"","474","TC_MED_005b_GET_ListWithoutCategory","","2026-03-06","passed","2026-03-06","3. Read Media (GET /api/media & /api/media/:id)","media/media.test.js","",""
"","176","TC_SHW_NEG_042_UPDATE_InvalidNextEpisodeDate","","2026-03-06","passed","2026-03-06","3. Update (POST /api/show/:id)","show/show.test.js","",""
