"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","78","TC_CST_POST_create_missing_first_name","smoke","2026-06-19","passed","2026-06-19","Customer — Create (POST /api/customer)","api/smoke/customer/customer.smoke.spec.js","",""
"","179","TC_AD_013_POST_Create_MissingType @negative","regression","2026-06-19","passed","2026-06-19","Ad — POST /api/ad/new · Negativos genéricos","api/regression/ad/ad-create.regression.spec.js","",""
"","2237","TC_LIV_030_POST_MediaLive","regression","2026-06-19","passed","2026-06-19","8. Configuración Avanzada","api/regression/live/live-advanced.regression.spec.js","",""
"","95","TC_CPN_POST_group_create_missing_name","regression","2026-06-19","passed","2026-06-19","Coupon Group — Create (POST /api/coupon-group)","api/regression/cupones/coupon-group.regression.spec.js","",""
"","537","TC_CON_CPN_003 GET /api/coupon/:id response schema","contract","2026-06-19","passed","2026-06-19","Coupon — Contract","api/contract/coupon/coupon.contract.spec.js","",""
"","83","[PL-NEG] 400 o 500 cuando falta el campo name","regression","2026-06-19","passed","2026-06-19","POST /api/playlist - Validaciones negativas","api/regression/playlist/playlist-advanced.regression.spec.js","",""
"","243","TC_CON_AD_002 GET /api/ad/:id response schema","contract","2026-06-19","passed","2026-06-19","Ad - Contract","api/contract/ad/ad.contract.spec.js","",""
"","80","TC_AD_REG_007_POST_Update_NonExistent @negative","regression","2026-06-19","passed","2026-06-19","Ad — Regression","api/regression/ad/ad.regression.spec.js","",""
"","157","TC_LIV_021_GET_FilterFavorites","regression","2026-06-19","passed","2026-06-19","2. Búsqueda y Filtros","api/regression/live/live-advanced.regression.spec.js","",""
"","79","TC_CAT_REG_014_GET_ById_NotFound @negative","regression","2026-06-19","passed","2026-06-19","Category — Regression (backend gap coverage)","api/regression/category/category.regression.spec.js","",""
"","82","TC_AD_DELETE_ad_not_found","smoke","2026-06-19","passed","2026-06-19","Ad - Delete","api/smoke/ad/ad-crud.smoke.spec.js","",""
"","180","TC_CPN_REG_004_POST_FixedDiscountMissingAmount @negative","regression","2026-06-19","passed","2026-06-19","Coupon — Limits & Validation Regression","api/regression/cupones/coupon-limits.regression.spec.js","",""
"","2196","TC_CON_SCH_002 GET schedule-job list response schema","contract","2026-06-19","passed","2026-06-19","Schedule — Contract","api/contract/schedule/schedule.contract.spec.js","",""
"","661","[PL-FUNC-001.1.5] Actualiza medias: agrega y vacía rules.manual.medias","regression","2026-06-19","passed","2026-06-19","PUT /api/playlist/{id} - Actualización","api/regression/playlist/playlist-advanced.regression.spec.js","",""
"","234","TC_AD_REG_010_DELETE_Idempotent","regression","2026-06-19","passed","2026-06-19","Ad — Regression","api/regression/ad/ad.regression.spec.js","",""
"","242","TC_CPN_GET_group_subgroups_not_found","regression","2026-06-19","passed","2026-06-19","Coupon Group — Subgroups (GET /api/coupon-group/:id)","api/regression/cupones/coupon-group.regression.spec.js","",""
"","86","TC_AD_GET_list_default","smoke","2026-06-19","passed","2026-06-19","Ad - List & Search","api/smoke/ad/ad-crud.smoke.spec.js","",""
"","79","TC_CST_POST_update_not_found","smoke","2026-06-19","passed","2026-06-19","Customer — Update (POST /api/customer/:id)","api/smoke/customer/customer.smoke.spec.js","",""
"","88","TC_CST_POST_create_missing_password","smoke","2026-06-19","passed","2026-06-19","Customer — Create (POST /api/customer)","api/smoke/customer/customer.smoke.spec.js","",""
"","2064","TC_LIV_045_GET_RestreamList","regression","2026-06-19","passed","2026-06-19","9. Schedule y Restream","api/regression/live/live-advanced.regression.spec.js","",""
"","244","min_media_time_length negativo se normaliza o devuelve 400","smoke","2026-06-19","passed","2026-06-19","Ad - Update","api/smoke/ad/ad-crud.smoke.spec.js","",""
"","6","TC_AR_REG_W007_List_Contains_Created","regression","2026-06-19","skipped","2026-06-19","Access Restriction — Regression (read-only; write tests skip without session auth)","api/regression/access_restriction/access_restriction.regression.spec.js","",""
"","1364","TC_AD_INT_001_POST_AssignCategory_FilteredInList @critical","regression","2026-06-19","passed","2026-06-19","Ad — Integration Regression","api/regression/ad/ad-integration.regression.spec.js","",""
"","1981","TC_LIV_029_DELETE_RemoveLogo","regression","2026-06-19","passed","2026-06-19","7. Thumbnails y Logo","api/regression/live/live-advanced.regression.spec.js","",""
"","90","TC_CON_LIV_003 GET /api/live-stream list response schema","contract","2026-06-19","passed","2026-06-19","Live - Contract","api/contract/live/live.contract.spec.js","",""
